	SCLC_N	SCLC_P	SCLC_I	SCLC_A
GLCt	0.032258064516129	0.032258064516129	0.032258064516129	0.032258064516129
HK	0.032258064516129	0.032258064516129	0.032258064516129	0.032258064516129
GLYC	0.03225806451612901	0.03225806451612901	0.03225806451612901	0.03225806451612901
LDH	0.0	0.0	0.0	0.0
LACt	0.0	0.0	0.0	0.0
PDH	0.06451612903225801	0.06451612903225801	0.06451612903225801	0.06451612903225801
CS	0.06451612903225801	0.06451612903225801	0.06451612903225801	0.06451612903225801
IDH	0.06451612903225801	0.06451612903225801	0.06451612903225801	0.06451612903225801
SUCC_OAA	0.06451612903225801	0.06451612903225801	0.06451612903225801	0.06451612903225801
GLNt	-5.0139104337910275e-17	-5.0139104337910263e-17	-5.013910433791027e-17	-5.0139104337910275e-17
GLS	-5.0139104337910275e-17	-5.0139104337910263e-17	-5.013910433791027e-17	-5.0139104337910275e-17
GLUD	0.0	0.0	0.0	0.0
AKGtoSUCC	0.064516129032258	0.064516129032258	0.064516129032258	0.064516129032258
PPP	0.0	0.0	0.0	0.0
PRPPS	0.0	0.0	0.0	0.0
DNPS	0.0	0.0	0.0	0.0
PYRS	0.0	0.0	0.0	0.0
PHGDH	-1.4325458382260087e-17	-1.432545838226008e-17	-1.4325458382260084e-17	-1.432545838226009e-17
SHMT	0.0	0.0	0.0	0.0
MTHFD	0.0	0.0	0.0	0.0
FAS	0.0	0.0	0.0	0.0
ACC	0.0	0.0	0.0	0.0
OXPHOS	0.3870967741935481	0.3870967741935481	0.3870967741935481	0.3870967741935481
O2t	0.19354838709677405	0.19354838709677405	0.19354838709677405	0.19354838709677405
ATPM	1.0	1.0	1.0	1.0
BIOMASS	-7.162729191130041e-17	-7.16272919113004e-17	-7.16272919113004e-17	-7.162729191130042e-17
EX_glc_e	-0.032258064516129	-0.032258064516129	-0.032258064516129	-0.032258064516129
EX_gln_e	5.0139104337910275e-17	5.0139104337910263e-17	5.013910433791027e-17	5.0139104337910275e-17
EX_o2_e	-0.19354838709677405	-0.19354838709677405	-0.19354838709677405	-0.19354838709677405
EX_lac_e	0.0	0.0	0.0	0.0
DM_co2	0.193548387096774	0.193548387096774	0.193548387096774	0.193548387096774
DM_h2o	-0.806451612903226	-0.8064516129032254	-0.8064516129032256	-0.806451612903226
DM_biomass	-7.162729191130038e-17	-7.162729191130037e-17	-7.162729191130037e-17	-7.162729191130038e-17
